агитировать	сагитировать
перемарывать	перемарать
перемарываться	перемараться
перемасливать	перемаслить
перемасливаться	перемаслиться
перематывать	перемотать
перемахивать	перемахнуть
перемахиваться	перемахнуться
перемачивать	перемочить
перемащивать	перемостить
перемежать	перемежить
перемежаться	перемежиться
перемежевывать	перемежевать
перемежевываться	перемежеваться
переменять	переменить
переменяться	перемениться
перемерзать	перемерзнуть
перемеривать	перемерить
перемерять	перемерить*
переметать	перемести
переметывать	переметнуть
переметывать*	переметать
переметываться	переметнуться
перемечать	переметить
перемешивать	перемешать
перемешивать*	перемесить
перемешиваться	перемешаться
перемешиваться*	перемеситься
перемещать	переместить
перемещаться	переместиться
перемигиваться	перемигнуться
переминать	перемять
перемножать	перемножить
перемогать	перемочь
перемогаться	перемочься
перемокать	перемокнуть
перемолачивать	перемолотить
перемораживать	переморозить
перемуравливать	перемуравить
перемусоливать	перемусолить
перемучивать	перемучить
перемывать	перемыть
перемываться	перемыться
перемыкать	перемкнуть
перемыливать	перемылить
переназначать	переназначить
переналаживать	переналадить
перенапрягать	перенапрячь
перенапрягаться	перенапрячься
перенаселять	перенаселить
перенасыщать	перенасытить
перенасыщаться	перенасытиться
перенашивать	переносить
перенизывать	перенизать
перенимать	перенять
переномеровывать	переномеровать
переносить	перенести
переноситься	перенестись
перенумеровывать	перенумеровать
перенюхиваться	перенюхаться
переобременять	переобременить
переобувать	переобуть
переобуваться	переобуться
переобучать	переобучить
переобучаться	переобучиться
переодевать	переодеть
переодеваться	переодеться
переопылять	переопылить
переорганизовывать	переорганизовать
переорганизовываться	переорганизоваться
переосмысливать	переосмыслить
переосмыслять	переосмыслить*
переоснащать	переоснастить
переоформлять	переоформить
переохлаждать	переохладить
переохлаждаться	переохладиться
переоценивать	переоценить
перепадать	перепасть
перепаивать	перепоить
перепаивать*	перепаять
перепалывать	переполоть
перепаривать	перепарить
перепариваться	перепариться
перепархивать	перепорхнуть
перепарывать	перепороть
перепахивать	перепахать
перепевать	перепеть
перепекать	перепечь
перепекаться	перепечься
перепеленывать	перепеленать
переперчивать	переперчить
перепечатывать	перепечатать
перепивать	перепить
перепиваться	перепиться
перепиливать	перепилить
перепирать	перепереть
переписывать	переписать
перепихивать	перепихнуть
переплавлять	переплавить
переплавляться	переплавиться
перепланировывать	перепланировать
перепластывать	перепластать
переплачивать	переплатить
переплевывать	переплюнуть
переплескивать	переплеснуть
переплескиваться	переплеснуться
переплетать	переплести
переплетаться	переплестись
переплывать	переплыть
переподготавливать	переподготовить
переподготавливаться	переподготовиться
переподготовлять	переподготовить*
переподготовляться	переподготовиться*
переполаскивать	переполоскать
переползать	переползти
переполнять	переполнить
переполняться	переполниться
перепоручать	перепоручить
перепоясывать	перепоясать
перепоясываться	перепоясаться
переправлять	переправить
переправляться	переправиться
перепрашивать	перепросить
перепрашиваться	перепроситься
перепревать	перепреть
перепроверять	перепроверить
перепродавать	перепродать
перепроизводить	перепроизвести
перепруживать	перепрудить
перепрыгивать	перепрыгнуть
перепрыскивать	перепрыснуть
перепрягать	перепрячь
перепрягаться	перепрячься
перепрятывать	перепрятать
перепрятываться	перепрятаться
перепускать	перепустить
перепутывать	перепутать
перепутываться	перепутаться
перерабатывать	переработать
перерабатываться	переработаться
перераспределять	перераспределить
перераспределяться	перераспределиться
перерастать	перерасти
перерезать	перерезать
перерезаться	перерезаться
перерезывать	перерезать*
перерезываться	перерезаться*
перерешать	перерешить
перерисовывать	перерисовать
перерождать	переродить
перерождаться	переродиться
перерубать	перерубить
перерумянивать	перерумянить
перерывать	перерыть
перерываться	перерваться
перерыхлять	перерыхлить
переряжать	перерядить
переряжаться	перерядиться
переряживать	перерядить*
переряживаться	перерядиться*
пересаживать	пересадить
пересаживаться	пересесть
пересаливать	пересолить
пересаливать*	пересалить
пересасывать	пересосать
пересахаривать	пересахарить
пересвистывать	пересвистать
пересвистываться	пересвистнуться
пересдавать	пересдать
пересевать	пересеять*
переседлывать	переседлать
пересеивать	пересеять
пересекать	пересечь
пересекаться	пересечься
переселять	переселить
переселяться	переселиться
пересиживать	пересидеть
пересиливать	пересилить
пересинивать	пересинить
пересиниваться	пересиниться
перескабливать	перескоблить
пересказывать	пересказать
перескакивать	перескочить
перескакивать*	перескакать
переслаивать	переслоить
переслаиваться	переслоиться
переслащивать	пересластить
пересмаливать	пересмолить
пересмаливаться	пересмолиться
пересматривать	пересмотреть
пересмеивать	пересмеять
переснащать	переснастить
переснащивать	переснастить*
переснимать	переснять
пересниматься	пересняться
пересовывать	пересунуть
пересоздавать	пересоздать
пересортировывать	пересортировать
пересоставлять	пересоставить
пересочинять	пересочинить
переспевать	переспеть
переспоривать	переспорить
переспрашивать	переспросить
пересрочивать	пересрочить
переставать	перестать
переставлять	переставить
перестаивать	перестоять
перестаиваться	перестояться
перестанавливать	перестановить
перестегивать	перестегнуть
перестегивать*	перестегать
перестилать	перестелить
перестилать*	перестлать
перестирывать	перестирать
перестрагивать	перестрогать
перестраивать	перестроить
перестраиваться	перестроиться
перестраховывать	перестраховать
перестраховываться	перестраховаться
перестрачивать	перестрочить
перестригать	перестричь
перестригаться	перестричься
перестругивать	перестругать
перестуживать	перестудить
перестукивать	перестукать
перестукиваться	перестукнуться
переступать	переступить
перестывать	перестыть
пересупонивать	пересупонить
пересучивать	пересучить
пересушивать	пересушить
пересушиваться	пересушиться
пересчитывать	пересчитать
пересылать	переслать
пересыпать	переспать
пересыпать*	пересыпать
пересыпаться	пересыпаться
пересыхать	пересохнуть
пересыщать	пересытить
пересыщаться	пересытиться
переталкивать	перетолкнуть
перетанцовывать	перетанцевать
перетапливать	перетопить
перетапливаться	перетопиться
перетаптывать	перетоптать
перетаскивать	перетащить
перетаскиваться	перетащиться
перетасовывать	перетасовать
перетачивать	переточить
перетачивать*	перетачать
перетекать	перетечь
перетесывать	перетесать
перетирать	перетереть
перетираться	перетереться
перетихать	перетихнуть
перетлевать	перетлеть
перетолковывать	перетолковать
переторачивать	переторочить
перетравливать	перетравить
перетрачивать	перетратить
перетруждать	перетрудить
перетруживать	перетрудить*
перетрушивать	перетрусить
перетрушиваться	перетруситься
перетрясать	перетрясти
перетряхивать	перетряхнуть
перетушевывать	перетушевать
перетыкать	переткнуть
перетягивать	перетянуть
перетягиваться	перетянуться
переубеждать	переубедить
переубеждаться	переубедиться
переупаковывать	переупаковать
переуплотнять	переуплотнить
переустраивать	переустроить
переуступать	переуступить
переутомлять	переутомить
переутомляться	переутомиться
переутюживать	переутюжить
переучивать	переучить
переучиваться	переучиться
переучитывать	переучесть
перефасонивать	перефасонить
переформировывать	переформировать
переформировываться	переформироваться
переформовывать	переформовать
перехаживать	переходить
перехваливать	перехвалить
перехватывать	перехватывить
перехихикиваться	перехихикнуться
перехлестывать	перехлестнуть
перехлестываться	перехлестнуться
перехлопывать	перехлопать
переходить	перейти
перецеживать	перецедить
переценивать	переценить
перецеплять	перецепить
перечаливать	перечалить
перечеканивать	перечеканить
перечеркивать	перечеркнуть
перечеркивать*	перечеркать
перечернять	перечернить
перечерпывать	перечерпнуть
перечерчивать	перечертить
перечесывать	перечесать
перечесываться	перечесаться
перечинивать	перечинить
перечислять	перечислить
перечисляться	перечислиться
перечитывать	перечитать
перечитывать*	перечесть
перечищать	перечистить
перешагивать	перешагнуть
перешаривать	перешарить
перешвыривать	перешвырнуть
перешибать	перешибить
перешивать	перешить
перешлифовывать	перешлифовать
перешнуровывать	перешнуровать
перешнуровываться	перешнуроваться
перешпиливать	перешпилить
перештемпелевывать	перештемпелевать
перештопывать	перештопать
перештукатуривать	перештукатурить
перещипывать	перещипать
переэкзаменовывать	переэкзаменовать
переэкзаменовываться	переэкзаменоваться
перхать	заперхать
перчить	наперчить
першить	запершить
песочить	пропесочить
пестовать	выпестовать
пестоваться	выпестоваться
пестреть	запестреть
пестреться	запестреться
пестрить	запестрить
петь	спеть
печалить	опечалить
печалиться	опечалиться
печатать	напечатать
печататься	напечататься
печь	испечь
печься	испечься
пикать	пикнуть
пиликать	пропиликать
пилить	распилить
пилиться	распилиться
пинать	пнуть
пинаться	пнуться
писать	написать
писаться	написаться
пить	выпить
пихать	пихнуть
пихаться	пихнуться
пичкать	напичкать
пищать	запищать
плавать	поплыть
плавить	расплавить
плавиться	расплавиться
плакать	заплакать
плакаться	поплакаться
планировать	запланировать
планировать*	спланировать
пластать	напластать
пластовать	напластовать
платить	заплатить
платиться	поплатиться
плевать	плюнуть
плеваться	плюнуться
пленять	пленить
пленяться	плениться
плескать	плеснуть
плесневеть	заплесневеть
плести	сплести
плестись	поплестись
плешиветь	оплешиветь
плодить	наплодить
плодиться	наплодиться
пломбировать	запломбировать
пломбировать*	опломбировать
плотнеть	поплотнеть
плошать	оплошать
плутать	заплутать
плутовать	сплутовать
плюсовать	приплюсовать
плюхать	плюхнуть
плюхаться	плюхнуться
плясать	сплясать
побеждать	победить
побивать	побить*
побуждать	побудить
поваживать	повадить
поведывать	поведать
повергать	повергнуть
повергаться	повергнуться
повертывать	повернуть*
повертывать*	поворотить
повертываться	повернуться*
повертываться*	поворотиться
поверять	поверить*
повещать	повестить*
повивать	повить
повисать	повиснуть
поводить	повести*
поворачивать	повернуть
поворачивать*	поворотить*
поворачиваться	повернуться
поворачиваться*	поворотиться*
повреждать	повредить
повреждаться	повредиться
повторять	повторить
повторяться	повториться
повышать	повысить
повышаться	повыситься
повязывать	повязать
повязываться	повязаться
погасать	погаснуть*
погашать	погасить*
погибать	погибнуть
поглощать	поглотить
поглощаться	поглотиться
погорать	погореть
погребать	погрести
погрешать	погрешить
погружать	погрузить*
погружаться	погрузиться*
погрязать	погрязнуть
подавать	подать
подаваться	податься
подавлять	подавить
подбавлять	подбавить
подбавляться	подбавиться
подбадривать	подбодрить
подбадриваться	подбодриться
подбалтывать	подболтать
подбегать	подбежать
подбеливать	подбелить
подбивать	подбить
подбиваться	подбиться
подбирать	подобрать
подбираться	подобраться
подбодрять	подбодрить*
подбодряться	подбодриться*
подбочениваться	подбочениться
подбрасывать	подбросить
подбрасывать*	подбросать
подбредать	подбрести
подбривать	подбрить
подбриваться	подбриться
подваливать	подвалить
подваливаться	подвалиться
подваривать	подварить
подвариваться	подвариться
подващивать	подвощить
подвеивать	подвеять
подвергать	подвергнуть
подвергаться	подвергнуться
подверстывать	подверстать
подвертывать	подвернуть*
подвертывать*	подворотить
подвертываться	подвернуться*
подвертываться*	подворотиться
подверчивать	подвертеть
подвершивать	подвершить
подвешивать	подвесить
подвешиваться	подвеситься
подвивать	подвить
подвиваться	подвиться
подвигать	подвинуть
подвигаться	подвинуться
подвинчивать	подвинтить
подвирать	подоврать
подводить	подвести
подвозить	подвезти
подволакивать	подволочь
подволакивать*	подволочить
подворачивать	подвернуть
подворачивать*	подворотить*
подворачиваться	подвернуться
подворачиваться*	подворотиться*
подвывать	подвыть
подвышать	подвысить
подвязывать	подвязать
подвязываться	подвязаться
подвяливать	подвялить
подгадывать	подгадать
подгаживать	подгадить
подгибать	подогнуть
подгибаться	подогнуться
подгладывать	подглодать
подглаживать	подгладить
подглядывать	подглядеть
подгнаивать	подгноить
подгнивать	подгнить
подговаривать	подговорить
подговариваться	подговориться
подгонять	подогнать
подгораживать	подгородить
подгорать	подгореть
подготавливать	подготовить
подготавливаться	подготовиться
подготовлять	подготовить*
подготовляться	подготовиться*
подгребать	подгрести
подгребаться	подгрестись
подгримировывать	подгримировать
подгримировываться	подгримироваться
подгружать	подгрузить
подгрызать	подгрызть
подгуливать	подгулять
подгущать	подгустить
поддавать	поддать
поддаваться	поддаться
поддавливать	поддавить
поддакивать	поддакнуть
поддалбливать	поддолбить
поддевать	поддеть
подделывать	подделать
подделываться	подделаться
поддергивать	поддернуть
поддерживать	поддержать
поддирать	пододрать
поддразнивать	поддразнить
поддувать	поддуть
подергиваться	подернуться
поджаривать	поджарить
поджариваться	поджариться
подживать	поджить
подживлять	подживить
поджигать	поджечь
поджимать	поджать
поджинать	поджать*
подзабывать	подзабыть
подзавивать	подзавить
подзадоривать	подзадорить
подзарабатывать	подзаработать
подзубривать	подзубрить
подзуживать	подзудить
подзывать	подозвать
подирать	подрать
подкаливать	подкалить
подкалывать	подколоть
подкапливать	подкопить
подкапчивать	подкоптить
подкапывать	подкопать
подкапывать*	подкапать
подкапывать*	подкапнуть
подкапываться	подкопаться
подкарауливать	подкараулить
подкармливать	подкормить
подкармливаться	подкормиться
подкатывать	подкатить
подкатывать*	подкатать
подкатываться	подкатиться
подкачивать	подкачать
подкачиваться	подкачаться
подкашивать	подкосить
подкашиваться	подкоситься
подкашливать	подкашлянуть
подквашивать	подквасить
подквашиваться	подкваситься
подкидывать	подкинуть
подкидывать*	подкидать
подкисать	подкиснуть
подкислять	подкислить
подкладывать	подложить
подклевывать	подклевать
подклеивать	подклеить
подклепывать	подклепать
подклинивать	подклинить
подключать	подключить
подключаться	подключиться
подковывать	подковать
подковываться	подковаться
подковыривать	подковырнуть
подковыривать*	подковырять
подколачивать	подколотить
подколупывать	подколупнуть
подкрадываться	подкрасться
подкраивать	подкроить
подкрахмаливать	подкрахмалить
подкрахмаливаться	подкрахмалиться
подкрашивать	подкрасить
подкрашивать*	подкрошить
подкрашиваться	подкраситься
подкреплять	подкрепить
подкрепляться	подкрепиться
подкруглять	подкруглить
подкручивать	подкрутить
подкручиваться	подкрутиться
подкрякивать	подкрякнуть
подкупать	подкупить
подкуривать	подкурить
подкусывать	подкусывить
подлавливать	подловить
подлаживать	подладить
подлаживаться	подладиться
подлакировывать	подлакировать
подламывать	подломить
подламывать*	подломать
подламываться	подломиться
подлатывать	подлатать
подлащиваться	подластиться
подлегать	подлечь
подлезать	подлезть
подлеплять	подлепить
подлетать	подлететь
подлечивать	подлечить
подлечиваться	подлечиться
подлещаться	подлеститься
подливать	подлить
подливаться	подлиться
подлизывать	подлизать
подлизываться	подлизаться
подлипать	подлипнуть
подлупливать	подлупить
подлущивать	подлущить
подмазывать	подмазать
подмазываться	подмазаться
подмалевывать	подмалевать
подмалывать	подмолоть
подманивать	подманить
подмаргивать	подморгнуть
подмаривать	подморить
подмасливать	подмаслить
подматывать	подмотать
подмахивать	подмахнуть
подмачивать	подмочить
подмачиваться	подмочиться
подмащивать	подмостить
подмащиваться	подмоститься
подменивать	подменить*
подменять	подменить
подмерзать	подмерзнуть
подметать	подмести
подметывать	подметнуть
подметывать*	подметать
подмечать	подметить
подмешивать	подмешать
подмешивать*	подмесить
подмигивать	подмигнуть
подминать	подмять
подмокать	подмокнуть
подмолаживать	подмолодить
подмолаживаться	подмолодиться
подмораживать	подморозить
подмуровывать	подмуровать
подмывать	подмыть
подмываться	подмыться
подмыливать	подмылить
подмякать	подмякнуть
поднажимать	поднажать
подналегать	подналечь
поднанимать	поднанять
поднапирать	поднапереть
поднатуживаться	поднатужиться
подначивать	подначить
поднашивать	подносить
поднашиваться	подноситься
поднизывать	поднизать
поднимать	поднять
подниматься	подняться
подновлять	подновить
подновляться	подновиться
подносить	поднести
подноситься	поднестись
подныривать	поднырнуть
подогревать	подогреть
подогреваться	подогреться
пододвигать	пододвинуть
пододвигаться	пододвинуться
подольщаться	подольститься
подопревать	подопреть
подоспевать	подоспеть
подпадать	подпасть
подпаивать	подпоить
подпаивать*	подпаять
подпаливать	подпалить
подпарывать	подпороть
подпарываться	подпороться
подпахивать	подпахать
подпевать	подпеть
подпекать	подпечь
подпекаться	подпечься
подпечатывать	подпечатать
подпиливать	подпилить
подпирать	подпереть
подпираться	подпереться
подписывать	подписать
подписываться	подписаться
подпихивать	подпихнуть
подпихивать*	подпихать
подплескивать	подплеснуть
подплетать	подплести
подплывать	подплыть
подползать	подползти
подпоясывать	подпоясать
подпоясываться	подпоясаться
подправлять	подправить
подпревать	подопреть*
подпрыгивать	подпрыгнуть
подпрягать	подпрячь
подпрягаться	подпрячься
подпрятывать	подпрятать
подпугивать	подпугнуть
подпудривать	подпудрить
подпускать	подпустить
подпутывать	подпутать
подпухать	подпухнуть
подпушать	подпушить
подрабатывать	подработать
подрабатываться	подработаться
подравнивать	подровнять
подравнивать*	подравнять
подравниваться	подравняться
подразделять	подразделить
подразнивать	подразнить
подранивать	подранить
подрастать	подрасти
подращивать	подрастить
подрежать	подредить
подрезать	подрезать
подрезывать	подрезать*
подрессоривать	подрессорить
подрешечивать	подрешетить
подрисовывать	подрисовать
подрубать	подрубить
подруливать	подрулить
подрумянивать	подрумянить
подрумяниваться	подрумяниться
подрывать	подорвать
подрывать*	подрыть
подрываться	подорваться
подрываться*	подрыться
подрыгивать	подрыгнуть
подрыхлять	подрыхлить
подрыхляться	подрыхлиться
подряжать	подрядить
подряжаться	подрядиться
подсаживать	подсадить
подсаживаться	подсесть
подсаливать	подсолить
подсаливать*	подсалить
подсаливаться	подсолиться
подсасывать	подсосать
подсасываться	подсосаться
подсахаривать	подсахарить
подсачивать	подсочить
подсачивать*	подсачить
подсвечивать	подсветить
подсвистывать	подсвистать
подсевать	подсеять*
подседлывать	подседлать
подсеивать	подсеять
подсекать	подсечь
подселять	подселить
подселяться	подселиться
подсиживать	подсидеть
подсинивать	подсинить
подсиниваться	подсиниться
подскабливать	подскоблить
подсказывать	подсказать
подскакивать	подскочить
подскакивать*	подскакать
подскребать	подскрести
подскребывать	подскрести*
подслаивать	подслоить
подслащать	подсластить*
подслащивать	подсластить
подслуживаться	подслужиться
подслушивать	подслушать
подсмаливать	подсмолить
подсматривать	подсмотреть
подсоблять	подсобить
подсовывать	подсунуть
подсовывать*	подсовать
подсовываться	подсунуться
подсоединять	подсоединить
подсокращать	подсократить
подставлять	подставить
подстегивать	подстегнуть
подстегивать*	подстегать
подстерегать	подстеречь
подстилать	подстелить
подстилать*	подостлать
подстрагивать	подстрогать
подстраивать	подстроить
подстраиваться	подстроиться
подстрачивать	подстрочить
подстрекать	подстрекнуть
подстреливать	подстрелить
подстригать	подстричь
подстригаться	подстричься
подстругивать	подстругать
подступать	подступить
подступаться	подступиться
подстывать	подстыть
подсуживать	подсудить
подсучивать	подсучить
подсучиваться	подсучиться
подсушивать	подсушить
подсушиваться	подсушиться
подсчитывать	подсчитать
подсылать	подослать
подсыпать	подсыпать
подсыпаться	подсыпаться
подсыхать	подсохнуть
подсюсюкивать	подсюсюкнуть
подтабанивать	подтабанить
подтаивать	подтаять
подталкивать	подтолкнуть
подтапливать	подтопить
подтаптывать	подтоптать
подтаскивать	подтащить
подтаскивать*	подтаскать
подтаскиваться	подтащиться
подтасовывать	подтасовать
подтачивать	подточить
подтачивать*	подтачать
подтверждать	подтвердить
подтверждаться	подтвердиться
подтекать	подтечь
подтесывать	подтесать
подтибривать	подтибрить
подтирать	подтереть
подтираться	подтереться
подтискивать	подтиснуть
подтискивать*	подтискать
подтискиваться	подтиснуться
подтискиваться*	подтискаться
подтоплять	подтопить*
подтопывать	подтопнуть
подторачивать	подторочить
подторговывать	подторговать
подтормаживать	подтормозить
подтравливать	подтравить
подтрунивать	подтрунить
подтушевывать	подтушевать
подтыкать	подоткнуть
подтыкать*	подтыкать
подтыкаться	подоткнуться
подтягивать	подтянуть
подтягиваться	подтянуться
подтяпывать	подтяпать
подугливать	подуглить
подуздывать	подуздать
подуськивать	подуськать
подутюживать	подутюжить
подучивать	подучить
подучиваться	подучиться
подущать	подустить
подхватывать	подхватывить
подхватываться	подхватиться
подхихикивать	подхихикнуть
подхлестывать	подхлестнуть
подходить	подойти
подцапывать	подцапнуть
подцапывать*	подцапать
подцвечивать	подцветить
подцеживать	подцедить
подцеживаться	подцедиться
подцеплять	подцепить
подцепляться	подцепиться
подчаливать	подчалить
подчаливаться	подчалиться
подчеканивать	подчеканить
подчеркивать	подчеркнуть
подчерняться	подчерниться
подчерчивать	подчертить
подчесывать	подчесать
подчинять	подчинить
подчиняться	подчиниться
подчитывать	подчитать
подчищать	подчистить
подчищаться	подчиститься
подшаркивать	подшаркнуть
подшвыривать	подшвырнуть
подшептывать	подшепнуть
подшибать	подшибить
подшивать	подшить
подшпаклевывать	подшпаклевать
подшпиливать	подшпилить
подштопывать	подштопать
подштукатуривать	подштукатурить
подшучивать	подшутить
подщелачивать	подщелочить
подщелкивать	подщелкнуть
подщипывать	подщипать
подъедать	подъесть
подъезжать	подъехать
подыгрывать	подыграть
подыгрываться	подыграться
подымать	поднять*
подыматься	подняться*
подыскивать	подыскать
подытоживать	подытожить
подыхать	подохнуть
поеживаться	поежиться
пожимать	пожать
пожиматься	пожаться
пожинать	пожать*
пожирать	пожрать
позабывать	позабыть
позабываться	позабыться
позволять	позволить
позволяться	позволиться
поздравлять	поздравить
позлащать	позлатить
познавать	познать
позорить	опозорить
позориться	опозориться
поить	напоить
показывать	показать
показываться	показаться*
покидать	покинуть
покорять	покорить
покоряться	покориться
покрывать	покрыть
покрываться	покрыться
покупать	купить
покушаться	покуситься
полагать	положить*
полагаться	положиться
полдничать	пополдничать
полегать	полечь
поливать	полить
поливаться	политься
полировать	отполировать
полнеть	пополнеть
полоскать	прополоскать
полосовать	распоплосовать
получать	получить
получаться	получиться
полыхать	полыхнуть
пользовать	использовать
пользоваться	воспользоваться
помадить	напомадить
помадиться	напомадиться
помазывать	помазать
помазываться	помазаться
помечать	пометить
помещать	поместить
помещаться	поместиться
поминать	помянуть
помирать	помереть
помножать	помножить
помножаться	помножиться
помогать	помочь
помрачать	помрачить
помрачаться	помрачиться
помышлять	помыслить
понижать	понизить
понижаться	понизиться
поникать	поникнуть*
понимать	понять
поновлять	поновить
понуждать	понудить
понуриваться	понуриться
поощрять	поощрить
попадать	попасть
попадаться	попасться
попирать	попрать
пополнять	пополнить
пополняться	пополниться
поправлять	поправить
поправляться	поправиться
попрекать	попрекнуть
попускать	попустить
порабощать	поработить
порабощаться	поработиться
поражать	поразить
поражаться	поразиться
порастать	порасти
порождать	породить
пороть	выпороть
порочить	опорочить
порошить	запорошить
портачить	напортачить
портить	испортить
портиться	испортиться
поручать	поручить
поручаться	поручиться*
порывать	порвать*
порываться	порваться*
посвящать	посвятить
посвящаться	посвятиться
поселять	поселить*
поселяться	поселиться*
посещать	посетить
поскальзываться	поскользнуться
