абажур	lampshade
параллель	parallel
параллельный	parallel
парапет	parapet
парафин	paraffin
парашют	parachute
парашютист	parachute jumper
парашютист	parachutist
парение	soaring
парень	lad
парень	fellow
парень	chap
парень	guy
пари	bet
парик	wig
парикмахер	hairdresser
парикмахер	barber
парикмахерская	hairdresser's
парикмахерская	barber's
парировать	parry
паритет	parity
парить	steam
парить	soar
париться	take a steam bath
парк	park
паркет	parquet
парламент	parliament
парламент	diet
парламентарный	parliamentary
парламентёр	truce envoy
парник	frame
парнишка	lad
парнишка	boy
парный	twin
паровоз	locomotive
пародия	parody
пароксизм	paroxysm
пароксизм	fit
пароль	parole
пароль	password
паром	ferry
паромщик	ferryman
парообразный	vaporous
парообразование	vaporization
парообразование	steam generation
пароход	steamer
пароход	steamship
парта	desk
партбилет	Party­membership card
партер	the pit
партер	the stalls
партизан	partisan
партизан	guerilla
партийность	Party­membership
партийный	Party member of the Party
партитура	score
партия	party
партия	party
партия	detachment
партия	batch
партия	lot
партия	game
партия	set
партия	part
партнёр	partner
парус	sail
парусина	canvas
парусник	sailing boat
парфюмерия	perfumery
парча	brocade
парчовый	brocaded
пасека	apiary
пасечник	bee­keeper
пасмурный	cloudy
пасмурный	dull
пасмурный	gloomy
пасмурный	sullen
пасовать	pass
пасовать	be unable to cope
паспорт	passport
пассажир	passenger
пассивный	passive
паста	paste
пастбище	pasture
пасти	herd
пасти	look after a herd of animals
пастись	graze
пастух	herd
пастух	herdsman
пастух	shepherd
пастушеский	pastoral
пасть	fall
пасть	mouth
пасха	Easter
пасынок	stepson
патент	patent
патентованный	patent
патефон	gramophone
патефон	phonograph
патока	treacle
патока	syrup
патриарх	patriarch
патриархальный	patriarchal
патриот	patriot
патриотизм	patriotism
патриотический	patriotic
патрон	cartridge
патрон	chuck
патрон	lamp­socket
патруль	patrol
пауза	pause
паук	spider
паутина	cobweb
паутина	spider's web
пафос	pathos
пах	groin
пахарь	ploughman
пахать	plough
пахать	till
пахнуть	smell
пахнуть	reek
пахота	ploughed land
пахотный	arable
пахучий	fragrant
пациент	patient
пацифист	pacifist
пачка	bundle
пачка	batch
пачка	packet
пачка	pack
пачка	parcel
пачкать	soil
пачкать	stain
пачкаться	soil oneself
пашня	field
пашня	arable land
паштет	paste
паштет	pвtй
паяльник	soldering iron
паяльщик	tinker
паясничать	play the buffoon
паять	solder
паяц	clown
певица	singer
певучий	melodious
пегий	piebald
пегий	skewbald
педагог	teacher
педагог	educational specialist
педагогика	pedagogics
педагогический	pedagogic
педаль	pedal
педант	pedant
педантичный	pedantic
пейзаж	view
пейзаж	landscape
пейзажист	landscape painter
пекарня	bakery
пекарня	bake­house
пекарь	baker
пекло	scorching heat
пелена	cover
пеленать	swaddle
пелёнки	swaddling clothes
пеликан	pelican
пельмени	pelmeni
пельмени	meat dumplings
пемза	pumice
пена	foam
пена	scum
пена	froth
пена	head
пена	suds lather
пена	lather
пенал	pencil­case
пение	singing
пенистый	foamy
пенистый	frothy
пенистый	foaming
пенистый	heady
пениться	foam
пениться	froth
пенка	skin
пенка	scum
пенсионер	pensioner
пенсия	pension
пенсне	pince­nez
пень	stump
пень	stub
пень	blockhead
пенька	hemp
пеньковый	hempen
пеня	fine
пенять	reproach
пенять	blame
пепелище	site of a burnt house
пепельница	ash­tray
пепельный	ashy
первенец	first­born
первенство	superiority
первенство	championship
первичный	primary
первичный	initial
первобытный	primitive
первобытный	pristine
первоисточник	source
первоисточник	origin
первоклассный	first­class
первоклассный	first­rate
первокурсник	first­year man
первокурсник	freshman
первоначальный	primary
первоначальный	elementary
первосортный	of the best quality
первостепенный	paramount
первый	first
первый	former
пергамент	parchment
перебежать	cross
перебежать	run across
перебежать	desert
перебежка	attacking in bounds
перебежчик	deserter
перебежчик	turncoat
перебирать	pluck
перебить	break
перебить	interrupt
перебой	stoppage
перебой	interruption
перебой	irregularity
перебороть	overcome
переборщить	overdo it
перебранка	wrangle
перебранка	squabble
перебрать	sort out
перебрать	look over
перебраться	get over
перебраться	cross
перебраться	move
перебросить	throw over
перебросить	transfer
переброска	transference
перевал	pass
перевалить	cross
перевалить	top
переваривать	digest
переваривать	overdo
перевезти	transport
перевезти	remove
перевезти	take across
перевернуть	turn over
перевернуть	overturn
перевернуть	upset
перевернуть	turn inside out
перевернуться	turn over
перевес	preponderance
перевес	predominance
перевесить	hang somewhere else
перевесить	weigh again
перевесить	outweigh
перевести	transfer
перевести	translate
перевести	interpret
перевести	remit
перевестись	be transferred
перевестись	be moved
перевестись	come to an end
перевестись	disappear
перевод	transfer
перевод	translation
перевод	remittance
переводчик	translator
переводчик	interpreter
перевоз	transport
перевоз	ferrying
перевоз	ferry
перевозка	transport
перевозчик	ferryman
перевозчик	boatman
перевооружение	rearmament
перевооружиться	rearm
перевоплощаться	be reincarnated
перевоплощение	reincarnation
переворот	revolution
переворот	upheaval
переворот	radical change
перевоспитание	re­education
перевоспитывать	re­educate
переврать	misinterpret
переврать	misquote
перевыборный	electoral
перевыполнение	overfulfilment
перевыполнять	overfulfil
перевыполнять	exceed
перевязать	tie up
перевязать	cord
перевязать	bandage
перевязать	dress
перевязка	bandaging
перевязка	dressing
перевязь	shoulder­belt
перевязь	sling
перегиб	bend
перегиб	twist
переглянуться	exchange glances
перегнать	leave behind
перегнать	outstrip
перегнать	outrun
перегнать	outwalk
перегнать	distil
перегной	humus
перегнуть	bend
перегнуться	lean over
переговорить	talk smth over
переговорить	discuss
переговоры	negotiations
переговоры	talks
перегон	stage
перегонка	distillation
перегореть	burn out
перегореть	fuse
перегородить	partition off
перегородка	partition
перегрев	overheating
перегреть	overheat
перегрузить	overload
перегрузить	overwork
перегрузка	overload
перегрузка	overwork
перегруппироваться	regroup
перегруппировка	regrouping
перегрызть	gnaw through
перед	in front of
перед	before
перед	before
перед	to
перёд	front
передать	pass
передать	give
передать	hand
передать	reproduce
передать	broadcast
передать	tell
передать	communicate
передача	transference
передача	broadcast
передача	gear
передача	transmission
передвижение	movement
передвижной	itinerant
передвижной	movable
передвинуть	move
передвинуть	shift
передвинуться	move
передел	repartition
передел	redivision
переделать	do over again
переделать	alter
переделка	alteration
передёрнуть	cheat
передёрнуть	distort
передний	front
передник	apron
передник	pinafore
передняя	hall
передняя	anteroom
передняя	lobby
передовица	leading article
передовица	leader
передовица	editorial
передовой	advanced
передовой	foremost
передохнуть	stop and take breath
передохнуть	take a rest
передразнить	mimic
передряга	scrape
передумывать	change one's mind
передышка	respite
передышка	breathing­space
переезд	passage
переезд	crossing
переезд	removal
переезд	leaving
переезд	crossing
переехать	cross
переехать	move
переехать	run over
пережаренный	overdone
пережаренный	burnt
пережарить	overdo
переждать	wait till smth is over
пережёвывать	masticate
пережёвывать	chew
пережёвывать	repeat over and over again
переживание	experience
пережиток	survival
пережить	go through
пережить	experience
пережить	endure
пережить	suffer
пережить	survive
пережить	outlive
перезаряжать	recharge
перезаряжать	reload
перезимовать	spend the winter
перезрелый	overripe
перезреть	become overripe
переизбрать	re­elect
переиздание	reissue
переиздание	republication
переиздать	republish
переименовывать	rename
перейти	cross
перейти	pass
перейти	turn into
переквалификация	training for a new profession
переквалифицироваться	train for a new profession
перекинуть	throw over
перекинуться	exchange
перекиснуть	turn sour
перекись	peroxide
перекладина	cross­beam
перекладина	cross­piece
перекладина	horizontal bar
перекликаться	shout to one another
перекличка	roll­call
переключение	switching
переключение	switching over
переключить	switch
переключиться	switch
переключиться	switch over
перековывать	reshoe
перековывать	remould
перекормить	overfeed
перекоситься	become distorted
перекочёвывать	move to a new place
перекошенный	distorted
перекрашивать	repaint
перекрашивать	dye over again
перекрашивать	paint everything
перекрёстный	cross
перекрещиваться	cross
перекричать	outvoice
перекричать	shout down
перекроить	cut out again
перекроить	remake
перекрытие	floor
перекрыть	re­roof
перекрыть	cover again
перекрыть	exceed
перекрыть	shut off
перекупщик	dealer
перекупщик	middleman
перекусить	bite through
перекусить	take a quick bite
перекусить	have a snack
перелезть	climb over
перелесок	coppice
перелесок	copse
перелёт	migration
перелёт	flight
перелететь	fly over
переливание	transfusion
переливаться	play
переливаться	modulate
перелистывать	turn over
перелистывать	look through
перелить	pour
перелить	let overflow
перелиться	overflow
перелицовывать	turn
перелицовывать	have smth turned
переложить	move
переложить	transfer
переложить	transfer
переложить	shift
переложить	interlay
переложить	arrange
переложить	transpose
перелом	fracture
перелом	sudden change
перелом	crisis
перелом	turning­point
переломать	break to pieces
переломать	crush
переломить	break in two
переманить	win over
переманить	entice
перемежаться	intermit
перемена	change
перемена	recess
перемена	interval
перемена	break
переменить	change
перемениться	change
переменный	variable
переменчивый	changeable
переменчивый	unsteady
перемешать	mix
перемешаться	get mixed
перемещаться	move
перемещение	transference
перемещение	shift
перемещение	dislocation
перемигнуться	wink
перемигнуться	wink at each other
перемирие	armistice
перемирие	truce
перемогать	overcome
перемогаться	make oneself keep going
перемолоть	grind
перемолоть	mill
перемыть	wash up again
перенапрягаться	overstrain oneself
перенапряжение	overstrain
перенаселение	overpopulation
перенести	transfer
перенести	carry across
перенести	divide into syllables
перенести	postpone
перенести	put off
перенести	go through
перенести	bear
перенестись	be carried away
перенос	transfer
перенос	division into syllables
переносица	bridge of the nose
переноска	porterage
переноска	carrying from place to place
переносный	portable
переносный	figurative
переносный	metaphorical
переночевать	spend the night
перенумеровать	number
перенять	take over
перенять	adopt
переоборудование	re­equipment
переоборудовать	re­equip
переобучение	retraining
переодевание	changing clothes
переодевание	disguise
переодетый	disguised
переодетый	in disguise
переодеть	change smb's clothes
переодеть	disguise
переодеться	change
переодеться	disguise oneself
переосвидетельствование	re­examination
переоценить	over­estimate
переоценить	overrate
переоценить	alter prices
переоценить	revalue
переоценка	over­estimation
переоценка	revaluation
перепачкать	make dirty
перепачкаться	make oneself dirty
перепёлка	quail
перепечатать	reprint
перепечатать	type
перепечатка	reprint
перепилить	saw through
перепилить	saw in two
переписать	copy
переписать	type
переписать	make a list
переписать	take a census
переписка	copying
переписка	typing
переписка	correspondence
переписчик	copyist
переписчик	typist
переписываться	correspond
перепись	census
переплавлять	smelt
переплачивать	pay too much
переплести	bind
переплести	interlace
переплести	interweave
переплестись	interlace
переплестись	interweave
переплёт	book­cover
переплёт	binding
переплёт	sash
переплётчик	bookbinder
переплыть	cross
переплыть	swim across
переплыть	row across
переплыть	sail across
переплыть	ferry across
переподготовить	train
переподготовка	retraining
переползти	crawl over
переполненный	overcrowded
переполнить	overfill
переполниться	be full to overflowing
переполох	alarm
переполох	commotion
переполошить	alarm
переполошиться	be thrown into a panic
переполошиться	get excited
перепонка	membrane
перепонка	web
перепончатый	webbed
перепончатый	web­footed
переправа	passage
переправа	crossing
переправа	ford
переправить	put across
переправить	ferry over
переправить	forward
переправиться	cross
перепродажа	resale
перепродать	resell
перепроизводство	overproduction
перепрыгнуть	jump over
перепугаться	be dead scared
перепутать	entangle
перепутать	confuse
перепутать	mix up
переработать	process
переработать	work over again
переработать	remake
переработать	overwork
перераспределение	redistribution
перераспределять	redistribute
перерастание	overgrowing
перерастание	development
перерасти	overgrow
перерасти	develop
перерасти	grow
перерасход	over­expenditure
перерасход	overdraft
перерасходовать	spend too much
перерасходовать	overdraw
перерасчёт	re­calculation
перервать	break
перервать	tear up
перерваться	break
перерегистрация	re­registration
перерегистрировать	re­register
перерезать	cut
перерезать	cut off
перерезать	kill
перерешить	change one's mind
перерождаться	take on a new life
перерождаться	degenerate
перерождение	regeneration
перерождение	degeneration
перерубить	cut
перерыв	interruption
перерыв	interval
перерыв	break
перерыть	dig up
перерыть	dig among rummage
пересадить	transplant
пересадить	make smb change his seat
пересадка	transplantation
пересадка	change
переселенец	settler
переселение	migration
переселение	move
переселить	move
переселиться	move
переселиться	migrate
пересесть	take another seat
пересесть	change
пересечение	crossing
пересечение	intersection
пересечь	cross
пересечь	intersect
пересилить	overpower
пересилить	overcome
пересказ	retelling
пересказ	rendering
пересказывать	retell
перескочить	jump over
перескочить	skip
переслать	send on
пересмотр	revision
пересмотр	review
пересмотр	retrial
пересмотр	reconsideration
пересмотреть	reconsider
пересмотреть	review
пересолить	oversalt
пересолить	overdo it
пересохнуть	dry up
пересохнуть	get dry
переспелый	overripe
переспорить	out­argue
переспросить	ask again
переспросить	ask to repeat
перессориться	quarrel with everybody
переставлять	rearrange
перестановка	rearrangement
перестараться	try too hard
перестараться	overdo it
перестать	stop
перестать	cease
перестрадать	have gone through much suffering
перестрелка	skirmish
перестрелять	shoot all
перестроить	rebuild
перестроить	reorganize
перестроить	reconstruct
перестроить	restructure
перестроиться	reform
перестроиться	reorganize
перестроиться	improve one's methods of work
перестройка	rebuilding
перестройка	reorganization
перестройка	reconstruction
перестройка	restructuring
переступить	cross
переступить	step over
пересчитать	count all
пересчитать	count over again
пересылка	sending
пересылка	carriage
перетасовывать	reshuffle
перетащить	drag over
перетащить	lug across
перетереться	fray through
перетопить	melt down
перетянуть	tip the scales
переубеждать	make smb change his mind
переулок	by­street
переулок	side­street
переулок	Lane
переустройство	reorganization
переустройство	reconstruction
переутомиться	overstrain oneself
переутомиться	overwork oneself
переутомление	overstrain
переутомление	overwork
переформировывать	re­form
перехватывать	intercept
перехитрить	outwit
переход	passage
переход	crossing
переход	march
переход	transition
переходный	transitional
переходный	transitive
переходящий	transitory
перец	pepper
перечень	list
перечеркнуть	cross out
перечисление	enumeration
перечисление	transferring
перечислять	enumerate
перечислять	transfer
перечитать	read a lot
перечитать	read again
перечить	argue back
перечница	pepper­box
перешагнуть	step
перешёптываться	whisper to one another
перешить	alter
перешить	have smth altered
перещеголять	outdo
перещеголять	go one better than smb
переэкзаменовка	re­examination
перила	rail
перила	banisters
периметр	perimeter
перина	feather bed
период	period
периодика	periodical press
периодический	periodic
перископ	periscope
периферия	periphery
перламутр	mother­of­pearl
перлон	perlon
пернатый	feathered
перо	feather
перо	plume
перо	pen
перпендикуляр	perpendicular
перпендикулярный	perpendicular
перрон	platform
перс	Persian
персидский	Persian
персик	peach
персона	person
персонаж	character
персонал	personnel
персонал	staff
персональный	personal
перспектива	perspective
перспектива	vista
перспектива	prospect
перспектива	outlook
перстень	ring
перхоть	dandruff
перчатка	glove
пёс	dog
песец	polar fox
песня	song
песок	sand
песочный	sand sand­coloured
песочный	short
пессимизм	pessimism
пессимист	pessimist
пессимистический	pessimistic
пестик	pistil
пестрота	diversity of colours
пестрота	variety
пестрота	diversity
пёстрый	variegated
пёстрый	gay
пёстрый	mixed
песчаник	sandstone
песчаный	sandy
петлица	buttonhole
петлица	tab
петля	loop
петля	buttonhole
петля	eye
петля	stitch
петля	hinge
петрушка	Punch
петрушка	parsley
петух	cock
петь	sing
петь	crow
пехота	infantry
пехотинец	infantryman
печалить	grieve
печалиться	grieve
печалиться	be sad
печаль	sorrow
печаль	grief
печальный	sad
печатать	print
печатать	type
печататься	be at the printer's
печататься	write
печататься	appear
печатный	printed
печатный	printing
печать	seal
печать	stamp
печать	the press
печать	print
печать	print
печать	type
печёнка	liver
печёный	baked
печень	liver
печенье	biscuits cookies
печь	stove
печь	oven
печь	furnace
печь	bake
печь	scorch
печь	parch
печься	be baked
печься	bake in the sun
пешеход	pedestrian
пеший	unmounted
пеший	foot on foot
пешка	pawn
пешком	on foot
пещера	cave
пианино	piano
пианистка	pianist
пивная	pub
пивная	tavern
пиво	ale
пиджак	coat
пика	lance
пика	spear
пикантный	piquant
пикантный	savoury
пикантный	sexy
пикантный	savoury
пикантный	spicy
пикет	picket
пики	spades
пикировать	dive
пикироваться	altercate
пикироваться	exchange caustic remarks
пикник	picnic
пила	saw
пилить	saw
пилот	pilot
пилотаж	piloting
пилюля	pill
пингвин	penguin
пион	peony
пионер	pioneer
пипетка	pipette
пипетка	medicine dropper
пир	feast
пирамида	pyramid
пирамидальный	pyramidal
пират	pirate
пировать	feast
пировать	carouse
пирог	pie
пирожное	fancy cake
пирожное	pastry
пирожок	patty
писака	scribbler
писарь	clerk
писатель	writer
писатель	author
писательница	writer
писательница	authoress
писать	write
писать	type
писать	paint
писать	compose
писк	squeak
пискливый	squeaky
пистолет	pistol
пистон	percussion cap
письменный	writing
письменный	written
письмо	letter
письмоносец	postman
питание	nourishment
питание	nutrition
питание	feeding
питательный	nourishing
питательный	nutritious
питать	feed
питать	nourish
питать	supply
питаться	feed
питаться	live
питомец	pupil
питомец	alumnus
питомник	nursery
питон	python
пить	drink
питьё	drinking
питьё	drink
питьевой	drinking
пихта	silver fir
пичкать	stuff
пища	food
пищать	squeak
пищать	cheep
пищеварение	digestion
пищевод	gullet
пиявка	leech
плавание	swimming
плавание	voyage
плавить	smelt
плавить	melt
плавиться	fuse
плавка	smelting
плавки	trunks
плавкий	fusible
плавкость	fusibility
плавник	fin
плавный	fluent
плавный	flowing
плавный	smooth
плавный	liquid
плавучий	floating
плагиат	plagiarism
плакат	placard
плакат	poster
плакать	weep
плакать	cry
плакаться	grouse
плакса	cry­baby
плаксивый	whining
пламенный	flaming
пламенный	fiery
пламенный	ardent
пламенный	flaming
пламя	flame
пламя	blaze
план	plan
планёр	glider
планета	planet
планетарий	planetarium
планирование	planning
планирование	gliding
планировать	plan
планировать	glide
планка	lath
планка	plank
плановый	planned
плановый	systematic
планомерный	systematic
планомерный	planned
плантация	plantation
пласт	layer
пласт	stratum
пластинка	plate
пластинка	record
пластический	plastic
пластмасса	plastic
пластырь	plaster
плата	pay
плата	fee
плата	fare
платёж	payment
платёжеспособный	solvent
плательщик	payer
платина	platinum
платить	pay
платный	paid
платный	paying
платок	shawl
платок	head scarf
платок	handkerchief
платформа	platform
платформа	open truck
платье	clothes clothing
платье	dress
платье	gown
платье	frock
плацдарм	bridge­head
плацкарта	reserved seat ticket
плач	weeping
плач	crying
плачевный	pitiful
плашмя	flat
плашмя	prone
плащ	cloak
плащ	raincoat
плащ	waterproof
плебисцит	plebiscite
плевательница	spittoon
плевок	spit
плеврит	pleurisy
плед	rug
плед	plaid
племенной	tribal
племя	tribe
племя	generation
племянник	nephew
племянница	niece
плен	captivity
пленарный	plenary
пленительный	fascinating
пленить	fascinate
пленить	captivate
плениться	be fascinated
плёнка	film
пленник	prisoner
пленник	captive
пленный	captive
пленум	plenum
плесень	mould
плеск	splash
плескать	splash
плесневеть	grow mouldy
плести	plait
плести	plot
плестись	drag oneself along
плетень	fence
плеть	knotted rope
плеть	lash
плечо	shoulder
плечо	arm
плешивый	having a bald patch
плешь	bald patch
плита	plate
плита	slab
плита	flagstone
плита	cooker
плита	stove
плита	range
плитка	tile
пловец	swimmer
плод	fruit
плодить	propagate
плодовитый	prolific
плодоводство	fruit­growing
плодородие	fertility
плодородный	fertile
плодотворный	fruitful
пломба	stopping
пломба	filling
пломба	seal
пломбировать	stop
пломбировать	fill
пломбировать	seal
плоский	flat
плоский	plane
плоскогорье	plateau
плоскогорье	tableland
плоскогубцы	pliers
плоскость	plane
плоскость	surface
плот	raft
плот	float
плотина	dam
плотина	dike
плотник	carpenter
плотность	density
плотный	dense
плотный	close
плотоядный	carnivorous
плоть	flesh
плохо	bad
плохо	that's bad
плохой	bad
плохой	poor
площадка	ground
площадка	playground
площадка	ground
площадка	landing
площадка	platform
площадь	area
площадь	square
плуг	plough
плут	cheat
плут	swindler
плут	rogue
плутать	walk round in circles
плутовать	cheat
плутовской	knavish
плыть	swim
плыть	float
плыть	drift
плыть	sail
плыть	sail
плыть	go boating
плюнуть	spit
плюс	plus
плюс	advantage
плюш	plush
плющ	ivy
пляж	beach
плясать	dance
плясать	do folk dancing
пляска	folk dance
пляска	square dance
пляска	country dancing
пневматический	pneumatic
по	on
по	along
по	by
по	according to
по	after
по	by
по	through
по	owing to
по	by
по	over
по	to
по	up to
по	in
по	at
по	on
побагроветь	become purple
побаиваться	be rather afraid
побег	flight
побег	escape
побег	shoot
побег	sprout
победа	victory
победитель	conqueror
победитель	winner
победить	conquer
победить	win a victory
победить	overcome
победный	triumphal
победный	triumphant
победоносный	victorious
победоносный	triumphant
побежать	run
побелеть	grow white
побелеть	turn pale
побелить	whitewash
побережье	shore
побережье	sea coast
побираться	beg
побить	beat
побить	beat down
побить	lay
побить	kill
поблагодарить	thank
поблажка	pampering
побледнеть	turn pale
поблёкнуть	wither
поблёкнуть	fade
поблёкший	withered
поблёкший	faded
поблизости	near at hand
поблизости	hereabouts
побои	beating blows
побоище	slaughter
побоище	massacre
поборник	champion
побороть	overcome
побочный	secondary
побуждать	impel
побуждать	induce
побуждать	make
побуждение	inducement
побуждение	motive
побывать	be
побывать	visit
повадиться	get the habit
повадка	habit
повалить	throw down
повалить	overturn
повалить	throng
повалиться	fall down
повар	cook
поваренный	culinary
по­вашему	as you think
по­вашему	in your opinion
по­вашему	to your mind
по­вашему	as you want
по­вашему	as you would have it
поведение	conduct
поведение	behaviour
повезти	carry
повезти	take
повелевать	lord it over
повелительный	imperative
повелительный	authoritative
повергнуть	throw down
повергнуть	throw
поверенный	attorney
поверить	believe
поверить	entrust
поверка	roll­call
повернуть	turn
повернуться	turn
поверх	over
поверх	above
поверхностный	superficial
поверхностный	shallow
поверхность	surface
поверье	popular belief
повеселеть	cheer up
повесить	hang
повеситься	hang oneself
повествование	narration
повествовательный	narrative
повестка	notice
повестка	summons
повесть	story
повесть	narrative
поветрие	epidemic
повздорить	have a quarrel
повидать	see
повидаться	meet
повидаться	see each other
по­видимому	obviously
по­видимому	evidently
по­видимому	clearly
повидло	jam
повинность	duty
повиноваться	obey
повиновение	obedience
повиснуть	hang
повиснуть	be suspended
повлиять	influence
повлиять	have an influence
повлиять	affect
повод	occasion
повод	cause
повод	ground
повод	rein
повозка	horse­drawn vehicle
поворот	turn
поворот	bend
поворот	change
повреждать	damage
повреждать	hurt
повреждать	injure
повреждение	damage
повременить	wait a little
повседневный	daily
повседневный	everyday
повсеместно	everywhere
повсеместный	occurring everywhere
повстанец	rebel
повсюду	everywhere
повсюду	far and wide
повторение	repetition
повторить	repeat
повториться	be repeated
повториться	recur
повторный	repeated
повторный	second
повысить	raise
повыситься	rise
повышение	rise
повышение	increase
повышенный	abnormally high
повязать	tie
повязка	bandage
погасить	put out
погасить	extinguish
погасить	pay off
погаснуть	go out
погашение	paying off
погибнуть	perish
погибнуть	be lost
погибший	lost
погибший	killed
поглощать	absorb
поглощать	swallow up
поглощение	absorption
поглощённый	absorbed
поглощённый	immersed
поглядывать	look occasionally
поглядывать	keep an eye
погнать	drive
погнаться	run
поговорка	saying
погода	weather
поголовно	all without exception
поголовный	general
поголовье	total number of livestock
погон	shoulder­strap
погонщик	drover
погоня	pursuit
погонять	urge on
погорелец	lost all in a fire
пограничник	frontier­guard
погреб	cold cellar
погребальный	funeral
погребение	burial
погремушка	rattle
погрешность	error
погрешность	mistake
погружение	immersion
погрузить	dip
погрузить	immerse
погрузиться	sink
погрузиться	submerge
погрузиться	be immersed
погрузка	loading
погубить	ruin
под	under
под	to
под	near
под	by
под	about
под	towards
под	on the eve of
под	in imitation
подавить	suppress
подавиться	choke
подавление	suppression
подавление	crushing
подавление	repression
подавленность	depression
подавленный	dispirited
подавленный	depressed
подавлять	suppress
подавлять	crush
подавно	so much the more
подавно	all the more
подагра	gout
подагрический	gouty
подарить	give as a present
подарить	present smb
подарок	present
подарок	gift
податель	bearer
податель	petitioner
податливый	pliant
податливый	weak
подать	tax
подать	give
подать	serve
подача	giving
подача	presenting
подача	feed
подача	service
подача	serve
подачка	sop
подаяние	alms
подбежать	run up
подбираться	steal up
подбираться	approach stealthily
подбить	line
подбить	incite
подбодрить	cheer up
подбодрить	encourage
подбор	selection
подбородок	chin
подбочениться	place arms akimbo
подбочениться	with hands on hips
подбросить	throw up
подвал	basement
подвал	cellar
подвезти	bring up
подвезти	give a lift
подвергнуть	subject
подвергнуть	expose
подвергнуться	undergo
подвергнуться	be exposed
подверженный	subject
подвесить	hang up
подвесить	suspend
подвесной	hanging
подвесной	suspended
подвести	bring up
подвести	let down
подвиг	exploit
подвиг	feat
подвижной	mobile
подвижность	agility
подвижность	suppleness
подвижный	active
подвижный	agile
подвизаться	pursue one's activities
подвизаться	be active
подвинуть	move
подвинуть	push
подвинуться	move
подвинуться	advance
подвинуться	make room
подвластный	belonging to smb's realm
подвода	cart
подвода	float
подводник	sailor on a submarine
подводник	frogman
подводный	submarine
подвоз	transport
подвоз	supply
подворотня	gateway
подвох	trick
подвыпивший	a bit tight
подвязать	tie up
подвязка	suspender
подвязка	garter
подглядывать	peep
подглядывать	spy
подголосок	yes­man
подгореть	get a bit burnt
подготовительный	preparatory
подготовиться	prepare
подготовка	preparation
подготовка	training
поддакивать	echo
подданный	subject
подданство	citizenship
поддаться	give in
поддаться	give way
подделать	counterfeit
подделать	forge
подделка	counterfeit
подделка	forgery
поддельный	false
поддельный	forged
поддельный	imitation
поддержать	support
поддержать	back
поддержать	second
поддерживать	keep up
поддержка	support
поддержка	encouragement
поддразнить	tease
поддувало	ash­pit
подействовать	have an effect
поделить	share
поделиться	share
поделиться	tell
поделка	hand­made article
по­деловому	in a business­like manner
подённо	by the day
подённый	by the day
подёнщик	_paid by the day
подёргиваться	twitch
подержанный	second­hand
подёрнуться	be covered
подешеветь	become cheaper
поджаристый	brown
поджарить	roast
поджарить	fry
поджечь	set on fire
поджечь	set fire
поджигатель	incendiary
поджигатель	instigator
поджидать	wait
поджог	arson
подзаголовок	subtitle
подзадорить	stimulate
подзадорить	set on
подзадорить	put up
подзащитный	client
подземелье	cave
подземелье	dungeon
подземный	underground
подкарауливать	be on the watch
подкарауливать	lie in wait
подкараулить	catch
подкатывать	roll
подкатывать	drive up
подкладка	lining
подклеить	paste
подклеить	glue
подкова	shoe
подковывать	shoe
подкожный	hypodermic
подкоп	digging under
подкоп	underground passage
подкопать	undermine
подкопаться	dig under
подкормить	feed up
подкрасить	colour
подкрасить	touch up
подкраситься	put on a little make­up
подкрасться	steal up
подкрепить	strengthen
подкрепить	fortify
подкрепить	confirm
подкрепиться	refresh oneself
подкрепление	confirmation
подкрепление	corroboration
подкрепление	reinforcement
подкуп	bribery
подкупить	bribe
подлаживаться	make up
подле	near
подле	by
подлежать	be subject
подлежащее	subject
подлезть	creep
подлец	villain
подлец	rascal
подливка	sauce
подливка	gravy
подлиза	toady
подлиза	wheedler
подлизываться	make up
подлизываться	wheedle
подлинник	original
подлинный	authentic
подлинный	real
подлить	pour
подлить	add
подлог	forgery
подлог	fake
подложить	put smth
подложить	add
подложный	false
подломиться	break
подлость	meanness
подлость	baseness
подлый	mean
подлый	base
подмазать	grease
подмазать	oil
подмазать	paint
подмазать	oil the wheels
подмастерье	apprentice
подмена	substitution
подменять	substitute
подметать	sweep
подметить	just notice
подмётка	sole
подмешивать	mix
подмешивать	dilute
подмигнуть	wink
подмога	help
подмокнуть	get slightly wet
подмостки	scaffolding boards
подмоченный	a bit wet
подмоченный	smirched
подмыть	wash underneath
подмыть	undermine
подмышки	arm­pits
подневольный	dependent
подневольный	forced
поднести	bring
поднести	present
подновлять	renovate
подножие	foot
подножие	pedestal
подножка	step
подножка	footboard
поднос	tray
подношение	presentation
поднять	lift
поднять	raise
поднять	pick up
подняться	rise
подняться	climb
подняться	go upstairs
подняться	get up
подняться	revolt
подняться	rise
подобать	become
подобать	befit
подобающий	proper
подобие	likeness
подобие	similarity
подобный	similar
подобострастие	servility
подобострастный	servile
подобрать	pick up
подобрать	tuck up
подобрать	select
подобрать	pick out
подогнать	urge on
подогнать	hurry
подогнать	adapt
подогнуть	bend
подогнуть	tuck in
подогреть	warm up
пододвинуть	push up
пододеяльник	cotton case to cover a blanket
подождать	wait
подозвать	call up
подозвать	beckon
подозревать	suspect
подозрение	suspicion
подозрительный	suspicious
подозрительный	suspicious
подозрительный	mistrustful
подойник	milk­pail
подойти	come up to
подойти	approach
подойти	fit
подойти	suit
подойти	do
подоконник	window­sill
подол	hem
подолгу	long
